step; process; value
1; 0; 0.14310
1; 1; 0.13658
1; 2; 0.14410
1; 3; 0.14009
1; 4; 0.14305
1; 5; 0.16392
1; 6; 0.15061
1; 7; 0.14802
1; 8; 0.14312
1; 9; 0.14623
1; 10; 0.16750
1; 11; 0.15534
1; 12; 0.17387
1; 13; 0.17937
1; 14; 0.17689
1; 15; 0.18184
1; 16; 0.19413
1; 17; 0.22934
1; 18; 0.21171
1; 19; 0.21557
1; 20; 0.22977
1; 21; 0.24172
1; 22; 0.24637
1; 23; 0.25626
1; 24; 0.25113
1; 25; 0.26921
1; 26; 0.27489
1; 27; 0.25424
1; 28; 0.27585
1; 29; 0.25945
1; 30; 0.25963
1; 31; 0.26234
1; 32; 0.26772
1; 33; 0.26922
1; 34; 0.25304
1; 35; 0.26297
1; 36; 0.25411
1; 37; 0.26641
1; 38; 0.25082
1; 39; 0.27542
1; 40; 0.25574
1; 41; 0.26125
1; 42; 0.32367
1; 43; 0.22763
1; 44; 0.21540
1; 45; 0.21181
1; 46; 0.21432
1; 47; 0.19892
1; 48; 0.18305
1; 49; 0.19035
1; 50; 0.20067
1; 51; 0.18529
1; 52; 0.15557
1; 53; 0.15534
1; 54; 0.14693
1; 55; 0.14352
1; 56; 0.14756
1; 57; 0.15043
1; 58; 0.15282
1; 59; 0.14124
1; 60; 0.13851
1; 61; 0.13749
1; 62; 0.13909
1; 63; I should compute pixel 63
2; 0; 0.13762
2; 1; 0.13597
2; 2; 0.14700
2; 3; 0.13847
2; 4; 0.14100
2; 5; 0.15062
2; 6; 0.14880
2; 7; 0.14823
2; 8; 0.14327
2; 9; 0.15275
2; 10; 0.15228
2; 11; 0.17468
2; 12; 0.17178
2; 13; 0.18976
2; 14; 0.17480
2; 15; 0.17456
2; 16; 0.20867
2; 17; 0.21591
2; 18; 0.21151
2; 19; 0.21541
2; 20; 0.24274
2; 21; 0.24092
2; 22; 0.25913
2; 23; 0.25552
2; 24; 0.25827
2; 25; 0.24837
2; 26; 0.25881
2; 27; 0.26853
2; 28; 0.26843
2; 29; 0.26545
2; 30; 0.33474
2; 31; 0.28684
2; 32; 0.27688
2; 33; 0.25390
2; 34; 0.25737
2; 35; 0.25749
2; 36; 0.26746
2; 37; 0.25895
2; 38; 0.24751
2; 39; 0.25376
2; 40; 0.25624
2; 41; 0.24886
2; 42; 0.25837
2; 43; 0.22788
2; 44; 0.21683
2; 45; 0.21220
2; 46; 0.22797
2; 47; 0.19355
2; 48; 0.17564
2; 49; 0.17441
2; 50; 0.19550
2; 51; 0.17169
2; 52; 0.16399
2; 53; 0.15180
2; 54; 0.14751
2; 55; 0.14164
2; 56; 0.15013
2; 57; 0.15260
2; 58; 0.14621
2; 59; 0.14511
2; 60; 0.15114
2; 61; 0.15773
2; 62; 0.13643
2; 63; I should compute pixel 63
3; 0; 0.14454
3; 1; 0.14439
3; 2; 0.13808
3; 3; 0.13966
3; 4; 0.14326
3; 5; 0.14976
3; 6; 0.16607
3; 7; 0.14777
3; 8; 0.15387
3; 9; 0.16810
3; 10; 0.15142
3; 11; 0.16058
3; 12; 0.17157
3; 13; 0.17275
3; 14; 0.17326
3; 15; 0.18033
3; 16; 0.19800
3; 17; 0.23637
3; 18; 0.21687
3; 19; 0.21659
3; 20; 0.23112
3; 21; 0.24285
3; 22; 0.25106
3; 23; 0.25974
3; 24; 0.25390
3; 25; 0.25980
3; 26; 0.27585
3; 27; 0.26981
3; 28; 0.25705
3; 29; 0.25426
3; 30; 0.26615
3; 31; 0.26293
3; 32; 0.26635
3; 33; 0.25333
3; 34; 0.26474
3; 35; 0.25810
3; 36; 0.25482
3; 37; 0.27671
3; 38; 0.26134
3; 39; 0.25835
3; 40; 0.25935
3; 41; 0.25844
3; 42; 0.24568
3; 43; 0.23150
3; 44; 0.21404
3; 45; 0.21407
3; 46; 0.23224
3; 47; 0.19611
3; 48; 0.19263
3; 49; 0.17537
3; 50; 0.17388
3; 51; 0.19206
3; 52; 0.15582
3; 53; 0.15284
3; 54; 0.14839
3; 55; 0.14731
3; 56; 0.14820
3; 57; 0.15006
3; 58; 0.18774
3; 59; 0.14691
3; 60; 0.14295
3; 61; 0.13720
3; 62; 0.18253
3; 63; I should compute pixel 63
4; 0; 0.13610
4; 1; I should compute pixel 1
4; 2; 0.14577
4; 3; 0.13993
4; 4; 0.14078
4; 5; 0.14549
4; 6; 0.14865
4; 7; 0.14993
4; 8; 0.14310
4; 9; 0.14671
4; 10; 0.16202
4; 11; 0.15588
4; 12; 0.17081
4; 13; 0.17407
4; 14; 0.21194
4; 15; 0.17521
4; 16; 0.21100
4; 17; 0.23398
4; 18; 0.21013
4; 19; 0.21560
4; 20; 0.22793
4; 21; 0.24025
4; 22; 0.25926
4; 23; 0.27588
4; 24; 0.26686
4; 25; 0.26297
4; 26; 0.26138
4; 27; 0.25837
4; 28; 0.25601
4; 29; 0.26613
4; 30; 0.25455
4; 31; 0.26588
4; 32; 0.27728
4; 33; 0.25850
4; 34; 0.25274
4; 35; 0.25743
4; 36; 0.26701
4; 37; 0.25276
4; 38; 0.25045
4; 39; 0.26095
4; 40; 0.25555
4; 41; 0.24535
4; 42; 0.31602
4; 43; 0.24591
4; 44; 0.21424
4; 45; 0.22522
4; 46; 0.21616
4; 47; 0.20636
4; 48; 0.17634
4; 49; 0.17358
4; 50; 0.18116
4; 51; 0.17173
4; 52; 0.15646
4; 53; 0.15104
4; 54; 0.14908
4; 55; 0.15106
4; 56; 0.14934
4; 57; 0.15196
4; 58; 0.14644
4; 59; 0.14020
4; 60; 0.14221
4; 61; 0.14595
4; 62; 0.14280
4; 63; 0.13677
5; 0; 0.15183
5; 1; 0.13994
5; 2; 0.13743
5; 3; 0.13902
5; 4; 0.14916
5; 5; 0.15109
5; 6; 0.15278
5; 7; 0.15123
5; 8; 0.14168
5; 9; 0.14988
5; 10; 0.15042
5; 11; 0.16215
5; 12; 0.17586
5; 13; 0.19141
5; 14; 0.17292
5; 15; 0.17575
5; 16; 0.20101
5; 17; 0.21193
5; 18; 0.21151
5; 19; 0.21411
5; 20; 0.22937
5; 21; 0.24949
5; 22; 0.25738
5; 23; 0.25582
5; 24; 0.26444
5; 25; 0.24804
5; 26; 0.26166
5; 27; 0.25816
5; 28; 0.26514
5; 29; 0.26036
5; 30; 0.25698
5; 31; 0.27765
5; 32; 0.26271
5; 33; 0.26845
5; 34; 0.25283
5; 35; 0.26970
5; 36; 0.25711
5; 37; 0.25184
5; 38; 0.25194
5; 39; 0.25303
5; 40; 0.27167
5; 41; 0.24585
5; 42; 0.25822
5; 43; 0.24096
5; 44; 0.22302
5; 45; 0.21474
5; 46; 0.21972
5; 47; 0.19491
5; 48; 0.17533
5; 49; 0.17519
5; 50; 0.17237
5; 51; 0.17579
5; 52; 0.15909
5; 53; 0.15189
5; 54; 0.15012
5; 55; 0.14396
5; 56; 0.14819
5; 57; 0.16943
5; 58; 0.19296
5; 59; 0.14050
5; 60; 0.15610
5; 61; 0.13805
5; 62; 0.17865
5; 63; I should compute pixel 63
6; 0; 0.13663
6; 1; I should compute pixel 1
6; 2; 0.16714
6; 3; 0.14390
6; 4; 0.14611
6; 5; 0.15475
6; 6; 0.15784
6; 7; 0.14887
6; 8; 0.14639
6; 9; 0.14985
6; 10; 0.15113
6; 11; 0.15885
6; 12; 0.17119
6; 13; 0.17369
6; 14; 0.17610
6; 15; 0.19246
6; 16; 0.19351
6; 17; 0.21142
6; 18; 0.27531
6; 19; 0.23212
6; 20; 0.23694
6; 21; 0.24172
6; 22; 0.25582
6; 23; 0.25689
6; 24; 0.26263
6; 25; 0.25154
6; 26; 0.25323
6; 27; 0.25536
6; 28; 0.26815
6; 29; 0.25647
6; 30; 0.26041
6; 31; 0.27114
6; 32; 0.26256
6; 33; 0.26855
6; 34; 0.29470
6; 35; 0.25558
6; 36; 0.25474
6; 37; 0.25295
6; 38; 0.24558
6; 39; 0.25117
6; 40; 0.25659
6; 41; 0.24606
6; 42; 0.24248
6; 43; 0.23211
6; 44; 0.22775
6; 45; 0.22429
6; 46; 0.23435
6; 47; 0.19483
6; 48; 0.19639
6; 49; 0.17355
6; 50; 0.17459
6; 51; 0.17297
6; 52; 0.15619
6; 53; 0.15439
6; 54; 0.14901
6; 55; 0.16401
6; 56; 0.15031
6; 57; 0.16753
6; 58; 0.16403
6; 59; 0.14021
6; 60; 0.13859
6; 61; 0.13750
6; 62; 0.16132
6; 63; 0.14257
7; 0; 0.13631
7; 1; 0.14907
7; 2; 0.13797
7; 3; 0.14175
7; 4; 0.14225
7; 5; 0.14548
7; 6; 0.15135
7; 7; 0.14741
7; 8; 0.14221
7; 9; 0.14719
7; 10; 0.16691
7; 11; 0.16390
7; 12; 0.18497
7; 13; 0.17302
7; 14; 0.17286
7; 15; 0.17886
7; 16; 0.20115
7; 17; 0.22829
7; 18; 0.21148
7; 19; 0.21590
7; 20; 0.22743
7; 21; 0.24604
7; 22; 0.26985
7; 23; 0.25602
7; 24; 0.25226
7; 25; 0.25747
7; 26; 0.29502
7; 27; 0.25309
7; 28; 0.27216
7; 29; 0.27813
7; 30; 0.26666
7; 31; 0.26404
7; 32; 0.26213
7; 33; 0.25438
7; 34; 0.25253
7; 35; 0.25672
7; 36; 0.27092
7; 37; 0.25534
7; 38; 0.24979
7; 39; 0.27518
7; 40; 0.25733
7; 41; 0.24738
7; 42; 0.24148
7; 43; 0.22763
7; 44; 0.21428
7; 45; 0.21121
7; 46; 0.21345
7; 47; 0.19573
7; 48; 0.17560
7; 49; 0.18514
7; 50; 0.22726
7; 51; 0.17576
7; 52; 0.15583
7; 53; 0.15311
7; 54; 0.14685
7; 55; 0.14335
7; 56; 0.14903
7; 57; 0.15276
7; 58; 0.14617
7; 59; 0.14056
7; 60; 0.13864
7; 61; 0.15794
7; 62; 0.13596
7; 63; I should compute pixel 63
8; 0; 0.13613
8; 1; 0.16111
8; 2; 0.13783
8; 3; 0.13973
8; 4; 0.13989
8; 5; 0.14584
8; 6; 0.16338
8; 7; 0.14792
8; 8; 0.14319
8; 9; 0.14620
8; 10; 0.15051
8; 11; 0.15574
8; 12; 0.18331
8; 13; 0.18560
8; 14; 0.17290
8; 15; 0.18244
8; 16; 0.19376
8; 17; 0.21835
8; 18; 0.21836
8; 19; 0.21422
8; 20; 0.22899
8; 21; 0.25767
8; 22; 0.24616
8; 23; 0.26105
8; 24; 0.26659
8; 25; 0.25141
8; 26; 0.25981
8; 27; 0.25324
8; 28; 0.26278
8; 29; 0.25466
8; 30; 0.33598
8; 31; 0.26167
8; 32; 0.26513
8; 33; 0.25434
8; 34; 0.25565
8; 35; 0.26715
8; 36; 0.25821
8; 37; 0.25612
8; 38; 0.30852
8; 39; 0.26320
8; 40; 0.27814
8; 41; 0.26632
8; 42; 0.23976
8; 43; 0.24370
8; 44; 0.21824
8; 45; 0.21538
8; 46; 0.21697
8; 47; 0.19695
8; 48; 0.17561
8; 49; 0.17609
8; 50; 0.17300
8; 51; 0.17067
8; 52; 0.17544
8; 53; 0.15301
8; 54; 0.16821
8; 55; 0.14254
8; 56; 0.14889
8; 57; 0.16818
8; 58; 0.14546
8; 59; 0.14297
8; 60; 0.14600
8; 61; 0.13843
8; 62; 0.14757
8; 63; I should compute pixel 63
9; 0; 0.13626
9; 1; 0.13606
9; 2; 0.14082
9; 3; 0.15078
9; 4; 0.14446
9; 5; 0.14848
9; 6; 0.15999
9; 7; 0.16209
9; 8; 0.14234
9; 9; 0.14694
9; 10; 0.15117
9; 11; 0.15633
9; 12; 0.17104
9; 13; 0.17919
9; 14; 0.17524
9; 15; 0.17555
9; 16; 0.19717
9; 17; 0.21200
9; 18; 0.21040
9; 19; 0.21688
9; 20; 0.23663
9; 21; 0.24504
9; 22; 0.24634
9; 23; 0.27471
9; 24; 0.25258
9; 25; 0.26062
9; 26; 0.27086
9; 27; 0.25638
9; 28; 0.25684
9; 29; 0.27326
9; 30; 0.26446
9; 31; 0.27634
9; 32; 0.28106
9; 33; 0.25419
9; 34; 0.28471
9; 35; 0.25589
9; 36; 0.26084
9; 37; 0.25228
9; 38; 0.24752
9; 39; 0.25316
9; 40; 0.25926
9; 41; 0.25680
9; 42; 0.32476
9; 43; 0.22799
9; 44; 0.21752
9; 45; 0.21142
9; 46; 0.21598
9; 47; 0.21118
9; 48; 0.17628
9; 49; 0.17523
9; 50; 0.17276
9; 51; 0.18765
9; 52; 0.15634
9; 53; 0.15186
9; 54; 0.14683
9; 55; 0.14889
9; 56; 0.15567
9; 57; 0.15584
9; 58; 0.14586
9; 59; 0.13994
9; 60; 0.13879
9; 61; 0.13726
9; 62; I should compute pixel 62
9; 63; 0.14059
10; 0; 0.14007
10; 1; 0.13529
10; 2; 0.14003
10; 3; 0.14123
10; 4; 0.14797
10; 5; 0.14552
10; 6; 0.19781
10; 7; 0.14898
10; 8; 0.14172
10; 9; 0.14647
10; 10; 0.16465
10; 11; 0.16114
10; 12; 0.17155
10; 13; 0.17271
10; 14; 0.17415
10; 15; 0.17589
10; 16; 0.20794
10; 17; 0.23405
10; 18; 0.21063
10; 19; 0.22189
10; 20; 0.23404
10; 21; 0.25961
10; 22; 0.26443
10; 23; 0.25589
10; 24; 0.25336
10; 25; 0.25735
10; 26; 0.25892
10; 27; 0.26275
10; 28; 0.27154
10; 29; 0.25201
10; 30; 0.26074
10; 31; 0.26225
10; 32; 0.26762
10; 33; 0.27468
10; 34; 0.26841
10; 35; 0.26614
10; 36; 0.25715
10; 37; 0.26220
10; 38; 0.25119
10; 39; 0.25089
10; 40; 0.25851
10; 41; 0.24985
10; 42; 0.23948
10; 43; 0.22896
10; 44; 0.21629
10; 45; 0.21473
10; 46; 0.21243
10; 47; 0.21141
10; 48; 0.17509
10; 49; 0.17385
10; 50; 0.21824
10; 51; 0.19056
10; 52; 0.15584
10; 53; 0.15081
10; 54; 0.14656
10; 55; 0.14404
10; 56; 0.15302
10; 57; 0.14900
10; 58; 0.14611
10; 59; 0.15835
10; 60; 0.13932
10; 61; 0.13760
10; 62; 0.13946
10; 63; I should compute pixel 63
